Test Planner and Tracker,Unnamed: 1,Unnamed: 2,Team Number In Black,Team Members In Black,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"Test 
No. ID","Related  
Use case ",Pre-conditions,"Test Description (steps) 
",Expected Outcome,"R1 Outcome (color code
cell background)",Comments (if test case failed),"R2 Outcome (color code
cell background)",Comments (if test case failed)
1,UC-01,User credentials exist in database,1. Navigate to login page\n2. Enter username: testuser\n3. Enter password: testpass123\n4. Click Login button,User authenticated and redirected to dashboard within 2 seconds,Pass,,Pass,
2,UC-01,No user authenticated,1. Open API client or browser dev tools\n2. Send GET request to /api/auth/me without Authorization header,"Response returns 401 Unauthorized with message 'Not authenticated', no user data is leaked",Pass,,Pass,
3,UC-01,User has 5 failed login attempts,1. Navigate to login page\n2. Enter valid username\n3. Enter wrong password 5 times\n4. Try logging in again,Account locked message displayed: 'Account temporarily locked. Try again in 15 minutes',Fail,Account lock not implemented in R1; login still allowed after multiple failed attempts.,Pass,Lockout added in R2 with failed-attempt counter and cooldown window.
4,UC-02,User authenticated,1. Navigate to upload page\n2. Drag and drop valid STL file (5MB)\n3. Wait for upload progress,"Upload completes successfully with Job ID displayed, redirect to 3D viewer after 2 seconds",Pass,,Pass,
5,UC-02,User authenticated,1. Navigate to upload page\n2. Select .txt file\n3. Click upload,Error message displayed: 'Invalid file type. Only STL and STEP files are supported',Pass,,Pass,
6,UC-02,User authenticated,1. Navigate to upload page\n2. Select STL file larger than 50MB\n3. Click upload,Error message displayed: 'File too large. Maximum size is 50MB. Your file: {size}MB',Pass,,Pass,
7,UC-03,Valid STL file uploaded (UC-02),1. Upload completes successfully\n2. View 3D viewer page\n3. Verify model renders\n4. Test OrbitControls (drag to rotate),"Model renders within 3 seconds for files <5MB, rotation/zoom/pan work smoothly at 60fps",Pass,,Pass,
8,UC-03,10MB STL file uploaded,1. Navigate to 3D viewer\n2. Wait for model load\n3. Check browser performance,Model loads but may show performance warning. Viewer remains responsive.,Pass,,Pass,
9,UC-04,Model uploaded and visible,1. Open slicing parameters panel\n2. Select Material: PLA\n3. Set Layer Height: 0.2mm\n4. Set Infill: 20%\n5. Select Supports: Touching buildplate,"All parameters update successfully, validation shows no errors",Pass,,Pass,
10,UC-04,Model uploaded,1. Open slicing parameters panel\n2. Leave material unselected\n3. Click 'Slice Now',Validation error displayed: 'Please select material type',Pass,,Pass,
11,UC-05,UC-02 and UC-04 completed,1. Configure valid slicing parameters\n2. Click 'Slice Now'\n3. Wait for slicer processing\n4. Check job status,"Slicing completes within 2 minutes for <10MB models, status updates to 'sliced', toolpath file generated",Pass,,Pass,
12,UC-05,Model with invalid geometry uploaded,1. Upload non-manifold STL\n2. Configure parameters\n3. Click 'Slice Now'\n4. Wait for slicer response,"Error message displayed: 'Slicing failed: Model has thin walls or disconnected parts', problem areas highlighted in 3D viewer",Fail,R1 only shows generic 'Slicing failed' message and does not highlight problem regions in viewer.,Pass,Error message made specific and thin-wall regions highlighted in R2.
